,area_km2,catch_name,elev_ft,id,Rainfall (mm),Snowmelt (mm),Baseflow (mm),K
0,5122.5534,SAN JOAQUIN R,294,SJF,542.4445518602605,70.14283232806785,206.22557380287006,30
1,4722.405299999999,TUOLUMNE R,170,TLG,537.4349521623279,91.36941486455032,215.43140888525465,6
2,6226.9722,KERN R,2635,ISB,294.77249974942765,60.778152210246226,80.32077306468925,12
3,5838.2694,AMERICAN R,132,NAT,394.4884170776211,89.73651289988062,252.82074458931703,6
4,1672.7633999999998,COSUMNES R,168,MHB,170.04369325320397,73.5462159762286,117.55020391252032,134
5,2801.79,STANISLAUS R,1135,NML,560.1714865474584,91.13441436255037,192.05686287434295,5
6,11475.1485,FEATHER R,900,ORO,340.63843543291995,74.04469990337657,221.4603638025685,16
7,1701.7128,KAWEAH R,752,TRM,363.9593957894927,63.842250534049874,159.4017843063139,66
8,1688.1372,MOKELUMNE R,575,MKM,508.6053627078208,80.15672379570324,239.48635172233313,2
9,1182.0492,TULE R,692,SCC,132.8631585814907,58.31863081084501,65.63844819565408,2
10,4702.9572,KINGS R,970,PNF,588.9997408776939,67.15182434271945,218.84344488300133,15
11,3215.7486,MERCED R,879,EXC,462.43554803650653,76.74445482761057,173.50074965018882,41
12,1125.657,CALAVERAS R,554,NHG,24.151310659161766,66.85456582803742,39.85352001700247,3
13,3499.5807,YUBA R,280,YRS,475.1417568104431,94.50800670151712,341.2514025765385,86
14,24146.043299999998,SACRAMENTO R,1067,SHA,230.4184876930513,72.10110830784375,152.01877402108687,3
